sub,POA,token,syll_dur,v_dur,vot,Av,Ahi,max23,HiDiff,F23Diff
10,3,1625,0.146,0.112,0.034,23.9,0.2,23.1,23.7,0.8
10,3,1636,0.116,0.076,0.04,22.5,9,21.5,13.5,1
2,3,390,0.138,0.111,0.027,17.3,9,16.2,8.3,1.1
10,3,1635,0.123,0.072,0.051,21.3,1.3,20.2,20,1.1
10,3,1623,0.156,0.12,0.036,24.1,2.7,22.8,21.4,1.3
10,3,1610,0.271,0.225,0.046,32.1,11.2,30.6,20.9,1.5
10,3,1629,0.149,0.121,0.028,26.1,1.7,24.6,24.4,1.5
7,3,1168,0.43,0.391,0.039,30.1,15.4,27.8,14.7,2.3
10,3,1624,0.148,0.119,0.029,25,-4.9,22.6,29.9,2.4
10,3,1613,0.259,0.192,0.067,25.8,5.2,22,20.6,3.8
8,3,1337,0.133,0.098,0.035,43.4,13.7,39.5,29.7,3.9
10,3,1611,0.351,0.264,0.087,25.7,7.1,21.8,18.6,3.9
9,3,1442,0.408,0.36,0.048,36.3,13.8,31.4,22.5,4.9
10,3,1628,0.193,0.152,0.041,28.1,-3.8,22.6,31.9,5.5
10,3,1627,0.17,0.137,0.033,23.6,4.9,18,18.7,5.6
2,3,373,0.285,0.201,0.084,24.6,5.9,18.9,18.7,5.7
9,3,1437,0.44,0.403,0.037,37.8,17.6,32,20.2,5.8
10,3,1612,0.219,0.15,0.069,30.4,8,24.5,22.4,5.9
10,3,1637,0.156,0.12,0.036,20.1,5,14.2,15.1,5.9
4,3,771,0.1766,0.1373,0.0393,24.3,4.2,18.3,20.1,6
8,3,1319,0.302,0.221,0.081,41.2,16,35.2,25.2,6
4,3,761,0.1373,0.1059,0.0314,31.2,1.7,25.1,29.5,6.1
4,3,789,0.1085,0.0759,0.0326,34.5,10.2,28.2,24.3,6.3
2,3,371,0.292,0.207,0.085,24,3.9,17.6,20.1,6.4
10,3,1632,0.148,0.1,0.048,22.9,1.1,16.3,21.8,6.6
7,3,1169,0.472,0.413,0.059,31,13.8,24.3,17.2,6.7
1,3,203,0.0604,0.0346,0.0258,23.1,1.9,16.2,21.2,6.9
8,3,1309,0.428,0.365,0.063,40.8,26.3,33.8,14.5,7
10,3,1634,0.111,0.081,0.03,27,8.3,19.5,18.7,7.5
10,3,1621,0.262,0.219,0.043,25.8,-2.8,18.2,28.6,7.6
8,3,1317,0.381,0.307,0.074,40.8,15.7,33,25.1,7.8
8,3,1346,0.132,0.11,0.022,43.4,6.2,35.5,37.2,7.9
10,3,1607,0.274,0.211,0.063,28.1,4.2,20.2,23.9,7.9
3,3,540,0.293,0.255,0.038,35.9,15.2,27.9,20.7,8
6,3,6,0.273,0.234,0.039,44.4,11.7,36.4,32.7,8
2,3,367,0.314,0.226,0.088,29.3,6.3,21.2,23,8.1
2,3,391,0.143,0.11,0.033,20.9,5.1,12.8,15.8,8.1
10,3,1597,0.331,0.267,0.064,31.8,12.6,23.7,19.2,8.1
4,3,747,0.1952,0.1491,0.0461,26.1,6.8,17.8,19.3,8.3
10,3,1639,0.138,0.098,0.04,22.4,6,13.9,16.4,8.5
4,3,788,0.0951,0.06,0.0351,33.3,14.1,24.7,19.2,8.6
7,3,1170,0.461,0.41,0.051,32.7,13.6,24.1,19.1,8.6
9,3,1438,0.513,0.475,0.038,38.7,15.3,30.1,23.4,8.6
7,3,1166,0.433,0.387,0.046,32.2,8.4,23.5,23.8,8.7
8,3,1320,0.416,0.329,0.087,40.1,16.9,31.4,23.2,8.7
8,3,1314,0.38,0.303,0.077,45.9,19.8,37.1,26.1,8.8
8,3,1315,0.37,0.301,0.069,41.5,21.1,32.6,20.4,8.9
10,3,1614,0.237,0.198,0.039,34.4,11.3,25.5,23.1,8.9
2,1,291,0.086,0.074,0.012,24.7,-17.5,15.7,42.2,9
