sub,lang,POA,syll_dur,v_dur,rate
AB,1,3,0.2499,0.1761,3
AB,1,3,0.2766,0.1915,3
AB,1,3,0.1204,0.0122,3
AB,1,3,0.2045,0.098,3
AB,1,3,0.1474,0.1108,3
AB,1,3,0.1744,0.1152,3
AB,1,3,0.1606,0.091,3
AB,1,3,0.1501,0.0853,3
AB,1,3,0.1719,0.1186,3
AB,1,3,0.1996,0.0984,3
AB,1,3,0.201,0.1014,3
AB,1,3,0.181,0.0913,3
AB,1,3,0.1539,0.0989,3
AB,1,3,0.2143,0.118,3
AB,1,3,0.2145,0.0977,3
AB,1,3,0.1939,0.1185,3
AB,1,3,0.1725,0.0906,3
AB,1,3,0.1414,0.1059,3
AB,1,3,0.1772,0.1268,3
AB,1,3,0.2003,0.1162,3
AB,1,3,0.1736,0.0837,3
AB,1,3,0.2116,0.1607,3
AB,1,3,0.1874,0.1427,3
AB,1,3,0.2254,0.1596,3
AB,1,3,0.1902,0.1396,3
AB,1,3,0.2157,0.1294,3
AB,1,3,0.222,0.1443,3
AB,1,3,0.2161,0.1354,3
AB,1,3,0.2606,0.2005,3
AB,1,3,0.2418,0.1783,3
AB,1,3,0.1228,0.0667,3
AB,1,3,0.0959,0.082,3
AB,1,3,0.1359,0.1013,3
AB,1,3,0.1136,0.0788,3
AB,1,2,0.1804,0.0845,3
AB,1,2,0.1293,0.1001,3
AB,1,2,0.1906,0.135,3
AB,1,2,0.188,0.1178,3
AB,1,2,0.1804,0.1014,3
AB,1,2,0.219,0.1327,3
AB,1,2,0.2314,0.1123,3
AB,1,2,0.2221,0.1275,3
AB,1,2,0.2077,0.1201,3
AB,1,2,0.2013,0.1192,3
AB,1,2,0.2022,0.1139,3
AB,1,2,0.2104,0.1257,3
AB,1,2,0.228,0.1282,3
AB,1,2,0.233,0.1465,3
AB,1,2,0.2293,0.1515,3
AB,1,2,0.2517,0.1646,3
AB,1,2,0.2848,0.0551,3
AB,1,2,0.1124,0.0475,3
AB,1,2,0.2724,0.1884,3
AB,1,2,0.279,0.1425,3
AB,1,2,0.1972,0.1328,3
AB,1,2,0.1581,0.14,3
AB,1,2,0.1217,0.0711,3
AB,1,2,0.1145,0.0963,3
AB,1,2,0.1229,0.0869,3
AB,1,2,0.1873,0.1083,3
AB,1,2,0.1591,0.1179,3
AB,1,2,0.119,0.0853,3
AB,1,1,0.1363,0.09,3
AB,1,1,0.155,0.0927,3
AB,1,1,0.1385,0.1056,3
AB,1,1,0.1426,0.1027,3
AB,1,1,0.1508,0.1025,3
AB,1,1,0.1675,0.1181,3
AB,1,1,0.1441,0.1143,3
AB,1,1,0.1704,0.1271,3
AB,1,1,0.1556,0.1105,3
AB,1,1,0.18,0.1055,3
AB,1,1,0.1842,0.1202,3
AB,1,1,0.1761,0.1196,3
AB,1,1,0.1648,0.1126,3
AB,1,1,0.182,0.1352,3
AB,1,1,0.1848,0.1312,3
AB,1,1,0.1846,0.1521,3
AB,1,1,0.2099,0.1534,3
AB,1,1,0.1779,0.1364,3
GC,1,1,0.1753,0.1119,3
GC,1,1,0.2044,0.1505,3
GC,1,1,0.1817,0.1672,3
GC,1,1,0.1983,0.1447,3
GC,1,1,0.1986,0.1547,3
GC,1,1,0.1964,0.1392,3
GC,1,1,0.202,0.1535,3
GC,1,1,0.2282,0.164,3
GC,1,1,0.2267,0.1826,3
GC,1,1,0.2145,0.1591,3
GC,1,1,0.1998,0.1504,3
GC,1,1,0.2576,0.1905,3
