sub,POA,token,syll_dur,v_dur,Av,Ahi,max23,Av.Ahi,Av.max23
5,3,246,0.0951,0.6,33.3,14.1,24.7,19.2,8.6
5,3,243,0.0926,0.6,23.3,4.8,13.5,18.5,9.8
5,3,267,0.0103,0.0701,35.3,10.5,25.2,24.8,10.1
2,3,52,0.1874,0.1427,3.7,-26.9,-6.5,30.6,10.2
3,3,14,0.2886,0.221,16.9,1.2,6.7,15.7,10.2
3,3,36,0.2793,0.194,13.7,-5.6,3.4,19.3,10.3
2,3,72,0.0429,0.0348,6.2,-19.7,-4.2,25.9,10.4
5,3,226,0.153,0.1177,25.8,8,15.2,17.8,10.6
1,3,1,0.4817,0.3758,30.2,9.6,19.5,20.6,10.7
3,3,22,0.2855,0.1905,13.8,0.06,3.1,13.74,10.7
2,1,2,0.6461,0.4847,22.5,1.9,11.6,20.6,10.9
2,1,60,0.1144,0.0404,-1.7,-21.3,-12.6,19.6,10.9
1,3,55,0.1052,0.0679,30.9,-2.5,19.6,33.4,11.3
5,2,149,0.0705,0.0414,23.4,13.1,12.1,10.3,11.3
2,2,34,0.219,0.1327,9.5,-22.9,-1.8,32.4,11.3
2,2,75,0.1671,0.1019,-0.09,-9.4,-11.4,9.31,11.31
3,3,39,0.3127,0.2282,13.3,-10.6,1.9,23.9,11.4
2,3,1,0.5765,0.426,24.4,6,12.9,18.4,11.5
2,1,16,0.2987,0.2164,13.5,-10.1,2,23.6,11.5
2,2,6,0.5221,0.3979,16.7,-6.8,5,23.5,11.7
3,3,46,0.2878,0.1872,13.1,-10.8,1.3,23.9,11.8
5,3,268,0.1034,0.0584,26.7,6.3,14.7,20.4,12
2,2,78,0.1974,0.1237,2.6,-21.8,-9.7,24.4,12.3
5,3,233,0.0868,0.0584,39.7,0.5,27.4,39.2,12.3
2,1,48,0.2082,0.117,5.9,-25.2,-6.6,31.1,12.5
3,1,26,0.2469,0.1627,16.7,3.1,4.2,13.6,12.5
5,3,224,0.1481,0.1069,22.1,3.7,9.6,18.4,12.5
5,2,152,0.0675,0.0515,32.4,11.2,19.8,21.2,12.6
6,3,252,0.0786,0.0397,31.3,-8.3,18.7,39.6,12.6
1,3,73,0.0933,0.0593,26.9,-1.9,14.1,28.8,12.8
3,1,1,0.2936,0.2189,27.2,12.3,14.4,14.9,12.8
2,3,56,0.222,0.1443,5.4,-29.6,-7.4,35,12.8
3,3,47,0.3282,0.2275,16.6,-3.1,3.8,19.7,12.8
5,3,222,0.155,0.1206,30.2,5.2,17.4,25,12.8
2,2,42,0.233,0.1465,10.6,-24.2,-2.3,34.8,12.9
3,3,57,0.3346,0.2475,14.4,-10.2,1.5,24.6,12.9
6,2,126,0.1655,0.0768,20.4,-7.8,7.3,28.2,13.1
5,2,145,0.0634,0.039,29.6,16.5,16.5,13.1,13.1
1,3,70,0.1067,0.0752,31.2,0.5,18,30.7,13.2
2,3,42,0.1539,0.0989,5.6,-22.9,-7.7,28.5,13.3
2,2,44,0.2517,0.1646,11,-26.5,-2.3,37.5,13.3
2,1,47,0.1727,0.105,4.6,-25.2,-8.8,29.8,13.4
2,2,70,0.1682,0.0728,7.1,-16.6,-6.4,23.7,13.5
5,2,174,0.0657,0.0468,37.1,21,23.6,16.1,13.5
2,2,35,0.2314,0.1123,8.2,-21.8,-5.4,30,13.6
2,3,20,0.3211,0.2111,13.8,-20.2,0.2,34,13.6
5,3,209,0.207,0.1403,25.8,6.5,12.2,19.3,13.6
5,3,256,0.0834,0.0575,42.3,18.6,28.5,23.7,13.8
5,3,203,0.1912,0.1579,34.3,7.8,20.4,26.5,13.9
2,1,4,0.5246,0.3957,17.5,-4.8,3.6,22.3,13.9
5,3,240,0.106,0.0809,32.2,4.9,18.3,27.3,13.9
3,3,42,0.2907,0.1912,11.6,-10.1,-2.4,21.7,14
1,3,48,0.0941,0.0635,33.3,-1.6,19.2,34.9,14.1
5,2,147,0.0746,0.0426,28.4,19.9,14.3,8.5,14.1
1,3,16,0.1791,0.149,31,-1.2,16.8,32.2,14.2
2,2,43,0.2293,0.1515,6.4,-30.2,-7.8,36.6,14.2
6,2,127,0.1627,0.0853,27.4,-3.2,13.2,30.6,14.2
6,3,208,0.3405,0.2312,29.9,-6.1,15.7,36,14.2
2,2,22,0.3256,0.2267,12.8,-4.4,-1.4,17.2,14.2
2,2,37,0.2077,0.1201,10.3,-23.6,-3.9,33.9,14.2
5,3,216,0.156,0.1128,25.8,-0.6,11.6,26.4,14.2
1,3,47,0.1049,0.0727,32.7,5.4,18.5,27.3,14.2
5,3,220,0.1462,0.1177,29.2,1.9,14.9,27.3,14.3
2,3,47,0.1414,0.1059,6.9,-26.7,-7.4,33.6,14.3
5,3,258,0.0993,0.054,40.1,18.1,25.8,22,14.3
3,2,2,0.4474,0.344,21.9,3.1,7.4,18.8,14.5
2,3,41,0.181,0.0913,13.6,-12,-0.9,25.6,14.5
2,3,50,0.1736,0.0837,5.3,-25.8,-9.2,31.1,14.5
2,2,19,0.3538,0.259,11.3,-18,-3.2,29.3,14.5
2,3,40,0.201,0.1014,15.5,-17.4,0.9,32.9,14.6
2,2,2,0.6574,0.5008,22,-3.2,7.4,25.2,14.6
2,2,39,0.2022,0.1139,7,-24.5,-7.6,31.5,14.6
5,3,225,0.1324,0.099,27,1.2,12.4,25.8,14.6
3,3,58,0.3185,0.2481,18.6,-6.6,4,25.2,14.6
2,2,33,0.1804,0.1014,13.2,-18.6,-1.5,31.8,14.7
2,2,36,0.2221,0.1275,8,-23.2,-6.7,31.2,14.7
2,2,38,0.2013,0.1192,7.2,-22.9,-7.5,30.1,14.7
3,2,82,0.1896,0.1572,22.6,7.9,7.9,14.7,14.7
3,3,10,0.5035,0.391,21.3,5.9,6.6,15.4,14.7
5,3,218,0.1864,0.155,29.1,-0.9,14.3,30,14.8
1,3,40,0.1556,0.0967,25.7,-7.8,10.8,33.5,14.9
6,2,112,0.3034,0.2298,30.2,-1.4,15.3,31.6,14.9
1,1,5,0.4254,0.3333,29.3,5.2,14.3,24.1,15
1,1,19,0.2767,0.1894,23.7,3.8,8.7,19.9,15
2,1,9,0.4835,0.3668,16.5,-6,1.5,22.5,15
3,3,23,0.3089,0.2031,16.2,2,1.2,14.2,15
2,3,29,0.3095,0.201,10.2,-27.1,-4.9,37.3,15.1
5,3,244,0.1151,0.0751,34.8,3.7,19.6,31.1,15.2
2,1,1,0.6519,0.5137,24.2,2.4,9,21.8,15.2
5,2,146,0.0936,0.0574,24.6,18,9.4,6.6,15.2
6,3,248,0.1138,0.0453,29.4,-11.2,14.1,40.6,15.3
2,1,10,0.4512,0.3453,15,-6.7,-0.3,21.7,15.3
2,1,68,0.12,0.1005,7,-15.1,-8.5,22.1,15.5
5,3,214,0.1668,0.1089,27.2,2.3,11.7,24.9,15.5
6,2,133,0.1654,0.0845,27.1,-4.6,11.6,31.7,15.5
1,3,6,0.4922,0.3935,28.2,1.8,12.6,26.4,15.6
1,2,47,0.1028,0.0634,30.7,15.4,15.1,15.3,15.6
2,1,6,0.4952,0.3786,13.9,-13.5,-1.7,27.4,15.6
5,3,238,0.1076,0.0759,32.3,6.8,16.5,25.5,15.8
1,3,13,0.2072,0.1598,31.9,-2.1,16,34,15.9
2,2,41,0.228,0.1282,7.8,-24.5,-8.1,32.3,15.9
6,3,227,0.1087,0.0671,24.7,-10.7,8.8,35.4,15.9
5,3,212,0.1589,0.1148,29.3,-2.3,13.4,31.6,15.9
1,1,7,0.4423,0.3161,26.6,8.8,10.7,17.8,15.9
5,3,250,0.0859,0.056,33.8,4.5,17.8,29.3,16
2,3,8,0.4811,0.3588,19.1,-12.2,3.1,31.3,16
3,3,15,0.3279,0.2105,22.8,0.7,6.8,22.1,16
6,2,114,0.2929,0.2067,28.9,-3.6,12.8,32.5,16.1
1,2,22,0.1595,0.1231,31.6,15.4,15.5,16.2,16.1
1,1,8,0.41,0.2861,24,6.2,7.9,17.8,16.1
2,3,6,0.4646,0.3272,17.8,-9.4,1.7,27.2,16.1
1,3,15,0.208,0.1537,29.9,-6.3,13.7,36.2,16.2
2,2,1,0.06638,0.4886,22.2,-0.5,5.9,22.7,16.3
3,3,9,0.4915,0.3998,24.4,5.3,8.1,19.1,16.3
6,3,251,0.0844,0.0332,27.2,-6.8,10.9,34,16.3
2,3,32,0.1204,0.0122,6.7,-28.5,-9.6,35.2,16.3
2,1,3,0.581,0.4122,22.1,-1.2,5.8,23.3,16.3
2,1,7,0.5417,0.4196,16.2,-5.3,-0.1,21.5,16.3
5,1,86,0.0816,0.578,32.1,15.1,15.8,17,16.3
1,3,62,0.0959,0.0698,31.4,-1.5,15,32.9,16.4
2,3,54,0.1902,0.1396,1.4,-27.5,-15,28.9,16.4
2,1,13,0.3103,0.2052,18.8,-3.9,2.4,22.7,16.4
1,3,8,0.4035,0.3166,27.9,5,11.4,22.9,16.5
1,2,19,0.1744,0.0579,33.6,4.6,17.1,29,16.5
